变量名,name,attributeType,rarity,natureType,natureType2,twinFlag,battleFlag,rectSize,bossCard_id,bossLife,cardID,star,icon,cardIcon,cardIcon2,iconSimple,cardShow,cardShowScale,cardShowPosC,unitRes,skin,show,bansxScale,bansxPosC,passiveSkillList,skillList,combinationObjCardId,combinationSkillId,everyPos,lifeScale,specBind,killResumeMp1,scale,scaleC,scaleCMode,scaleU,scaleX,scaleSkin,bornTime,rebornTime,deathTime,deathSound,fightingPoint,buffId,buffLifeRound,buffProb,buffLevel,buffValue1,hpGrow,speedGrow,damageGrow,specialDamageGrow,defenceGrow,specialDefenceGrow,hpBaseC,speedBaseC,damageBaseC,defenceBaseC,specialDamageBaseC,specialDefenceBaseC,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefenceC,defenceIgnoreC,specialDefenceIgnoreC,speedC,strikeC,strikeDamageC,strikeResistanceC,blockC,breakBlockC,blockPowerC,dodgeC,hitC,damageDodgeC,damageHitC,damageAddC,damageSubC,ultimateAddC,ultimateSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,cureC,natureRestraintC,controlPerC,immuneControlC,effectPowerId,summonCalDamage,cardSpine,cardSpinePos,cardSpineScale,finalDamageSubC,extraSkillList,cardSkinScale,followSpineScale,weight,shinyPos,height,followSpinePos,shiny,cardSpineNeedStar,cardSkinPos,fakePassiveSkillList,shinyRes,mZawakeStatus,unitType,frontPriority,elementalDamageAddC,elementalDamageDeepenC,elementalDamageReduceC,elementalDamageSubC,finalDamageAddC,finalDamageDeepenC,finalDamageReduceC,ignoreDamageSubC,mpAttackRecoverC,mpBeAttackRecoverC,shieldPowerC,skinReplaceIDs,__version
400901,火焰鸟,base,3,2,10,,,,,,741,12,config/portrait/speedranktouxiang/img_146_hyn@.png,config/portrait/jinglingtouxiang/img_146_hyn@.png,config/portrait/jinglingtouxiang1/img_146_hyn@.png,config/portrait/simple/img_146_hyn@.png,config/big_hero/normal/img_146_hyn@.png,1.8,{x=-30;y=-60},koudai_huoyanniao/hero_huoyanniao.skel,,config/big_hero/standby/img_146_hyn@.png,,,,,,,{headPos={y=300;x=0};hitPos={y=160;x=0};lifePos={y=340;x=0};namePos={y=340;x=0}},,,,2.5,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,2,,,,,,,,,,,,,,,,,,,,,,
400902,超坏星,base,3,8,3,,,,,,3772,12,config/portrait/speedranktouxiang/img_748_chx@.png,config/portrait/jinglingtouxiang/img_748_chx@.png,config/portrait/jinglingtouxiang1/img_748_chx@.png,config/portrait/simple/img_748_chx@.png,config/big_hero/normal/img_748_chx@.png,1.8,{x=10;y=140},koudai_chaohuaixing/hero_chaohuaixing.skel,,config/big_hero/standby/img_748_chx@.png,,,,,,,{headPos={y=250;x=0};hitPos={y=140;x=0};lifePos={y=290;x=0};namePos={y=291;x=0}},,,,2.2,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,0.7,,,,,,,,,,,,,,,,,,,,,,
400903,鸭嘴炎兽,base,3,2,,,,,,,603,12,config/portrait/speedranktouxiang/img_467_yzys@.png,config/portrait/jinglingtouxiang/img_467_yzys@.png,config/portrait/jinglingtouxiang1/img_467_yzys@.png,config/portrait/simple/img_467_yzys@.png,config/big_hero/normal/img_467_yzys@.png,2,{x=-50;y=160},koudai_yazuiyanshou/hero_yazuiyanshou.skel,,config/big_hero/standby/img_467_yzys@.png,,,,,,,,,,,2.7,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,1.6,,,,,,,,,,,,,,,,,,,,,,
400904,叉字蝠,base,3,8,10,,,,,,163,12,config/portrait/speedranktouxiang/img_169_czf@.png,config/portrait/jinglingtouxiang/img_169_czf@.png,config/portrait/jinglingtouxiang1/img_169_czf@.png,config/portrait/simple/img_169_czf@.png,config/big_hero/normal/img_169_czf@.png,1.7,{x=-160;y=60},koudai_chazifu/hero_chazifu.skel,,config/big_hero/standby/img_169_czf@.png,,,,,,,{headPos={y=220;x=0};hitPos={y=120;x=0};lifePos={y=260;x=0};namePos={y=260;x=0}},,,,1.55,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,1.8,,,,,,,,,,,,,,,,,,,,,,
400905,超级喷火龙X,base,3,2,15,,,,,,14,,config/portrait/speedranktouxiang/img_6_cjphlx@.png,config/portrait/jinglingtouxiang/img_6_cjphlx@.png,config/portrait/jinglingtouxiang1/img_6_cjphlx@.png,config/portrait/simple/img_6_cjphlx@.png,config/big_hero/normal/img_6_cjphlx@.png,,{x=-45;y=20},koudai_penhuolongmegax/hero_penhuolongmegax.skel,,config/big_hero/standby/img_6_cjphlx@.png,,{x=50;y=-120},,<141;142;143>,,,{headPos={y=300;x=0};hitPos={y=160;x=0};lifePos={y=340;x=0};namePos={y=340;x=0}},,,,2.2,,,1.3,,,,,,,,,,,,,49.534,1.251,11.935,11.935,4.59,4.301,1.32,1.39,1.49,1.43,1.49,1.34,1644,1000,400,,,,576,576,215,171,0,0,58,700,15000,,,500,3000,,,,,700,100,,,,,,,,,,,,,,,,,,,,90.5,,1.7,,,,,,,,,,,,,,,,,,,,,,
400906,四颚针龙,base,3,8,15,,,,,,4132,12,config/portrait/speedranktouxiang/img_804_sezl@.png,config/portrait/jinglingtouxiang/img_804_sezl@.png,config/portrait/jinglingtouxiang1/img_804_sezl@.png,config/portrait/simple/img_804_sezl@.png,config/big_hero/normal/img_804_sezl@.png,1.8,{x=40;y=-60},koudai_siezhenlong/hero_siezhenlong.skel,,config/big_hero/standby/img_804_sezl@.png,,,,,,,{headPos={y=360;x=0};hitPos={y=190;x=0};lifePos={y=400;x=0};namePos={y=400;x=0}},,,,2.2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,3.6,,,,,,,,,,,,,,,,,,,,,,
410101,雷吉洛克,base,3,13,,,<191>,,,,1911,,config/portrait/speedranktouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang1/img_377_ljlk@.png,config/portrait/simple/img_377_ljlk@.png,config/big_hero/normal/img_377_ljlk@.png,,{x=10;y=20},koudai_leijiluoke/hero_leijiluoke.skel,putong,config/big_hero/standby/img_377_ljlk@.png,,,,,,,,,,,2.3,,,1.35,,,,,,,,,,,,,49.909,1.107,11.134,9.852,5.489,4.462,1.33,1.23,1.39,1.71,1.23,1.39,1684,1000,400,,,,440,248,397,196,0,0,37,,15000,,1000,,3000,,,,,500,500,,,,,,,,,,,,,,,,,,,,230,,1.7,{x=7;y=73},,,,,,,,,,,,,,,,,,,,,
410102,化石,base,3,13,,,<191>,,,,1911,,config/portrait/speedranktouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang1/img_377_ljlk@.png,config/portrait/simple/img_377_ljlk@.png,config/big_hero/normal/img_377_ljlk@.png,,{x=10;y=20},summer_challenge/huashi.skel,lan,config/big_hero/standby/img_377_ljlk@.png,,,,,,,,,,,2.3,,,1.35,,,,,,,,,,,,,49.909,1.107,11.134,9.852,5.489,4.462,1.33,1.23,1.39,1.71,1.23,1.39,1684,1000,400,,,,440,248,397,196,0,0,37,,15000,,1000,,3000,,,,,500,500,,,,,,,,,,,,,,,,,,,,230,,1.7,{x=7;y=73},,,,,,,,,,,,,,,,,,,,,
410103,雷吉洛克,base,3,13,,,<191>,,,,1911,,config/portrait/speedranktouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang1/img_377_ljlk@.png,config/portrait/simple/img_377_ljlk@.png,config/big_hero/normal/img_377_ljlk@.png,,{x=10;y=20},koudai_leijiluoke/hero_leijiluoke.skel,putong,config/big_hero/standby/img_377_ljlk@.png,,,,,,,,,,,2.3,,,1.35,,,,,,,,,,,,,49.909,1.107,11.134,9.852,5.489,4.462,1.33,1.23,1.39,1.71,1.23,1.39,1684,1000,400,,,,440,248,397,196,0,0,37,,15000,,1000,,3000,,,,,500,500,,,,,,,,,,,,,,,,,,,,230,,1.7,{x=7;y=73},,,,,,,,,,,,,,,,,,,,,
410104,雷吉洛克,base,3,13,,,<191>,,,,1911,,config/portrait/speedranktouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang1/img_377_ljlk@.png,config/portrait/simple/img_377_ljlk@.png,config/big_hero/normal/img_377_ljlk@.png,,{x=10;y=20},koudai_leijiluoke/hero_leijiluoke.skel,putong,config/big_hero/standby/img_377_ljlk@.png,,,,,,,,,,,2.3,,,1.35,,,,,,,,,,,,,49.909,1.107,11.134,9.852,5.489,4.462,1.33,1.23,1.39,1.71,1.23,1.39,1684,1000,400,,,,440,248,397,196,0,0,37,,15000,,1000,,3000,,,,,500,500,,,,,,,,,,,,,,,,,,,,230,,1.7,{x=7;y=73},,,,,,,,,,,,,,,,,,,,,
410105,雷吉洛克,base,3,13,,,<191>,,,,1911,,config/portrait/speedranktouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang1/img_377_ljlk@.png,config/portrait/simple/img_377_ljlk@.png,config/big_hero/normal/img_377_ljlk@.png,,{x=10;y=20},koudai_leijiluoke/hero_leijiluoke.skel,putong,config/big_hero/standby/img_377_ljlk@.png,,,,,,,,,,,2.3,,,1.35,,,,,,,,,,,,,49.909,1.107,11.134,9.852,5.489,4.462,1.33,1.23,1.39,1.71,1.23,1.39,1684,1000,400,,,,440,248,397,196,0,0,37,,15000,,1000,,3000,,,,,500,500,,,,,,,,,,,,,,,,,,,,230,,1.7,{x=7;y=73},,,,,,,,,,,,,,,,,,,,,
410106,化石,base,3,13,,,<191>,,,,1911,,config/portrait/speedranktouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang1/img_377_ljlk@.png,config/portrait/simple/img_377_ljlk@.png,config/big_hero/normal/img_377_ljlk@.png,,{x=10;y=20},summer_challenge/huashi.skel,lan,config/big_hero/standby/img_377_ljlk@.png,,,,,,,,,,,2.3,,,1.35,,,,,,,,,,,,,49.909,1.107,11.134,9.852,5.489,4.462,1.33,1.23,1.39,1.71,1.23,1.39,1684,1000,400,,,,440,248,397,196,0,0,37,,15000,,1000,,3000,,,,,500,500,,,,,,,,,,,,,,,,,,,,230,,1.7,{x=7;y=73},,,,,,,,,,,,,,,,,,,,,
410301,化石1,base,3,13,,,<191>,,,,1911,,config/portrait/speedranktouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang1/img_377_ljlk@.png,config/portrait/simple/img_377_ljlk@.png,config/big_hero/normal/img_377_ljlk@.png,,{x=10;y=20},summer_challenge/huashi.skel,hong,config/big_hero/standby/img_377_ljlk@.png,,,,,,,,,,,2.3,,,1.35,,,,,,,,,,,,,49.909,1.107,11.134,9.852,5.489,4.462,1.33,1.23,1.39,1.71,1.23,1.39,1684,1000,400,,,,440,248,397,196,0,0,37,,15000,,1000,,3000,,,,,500,500,,,,,,,,,,,,,,,,,,,,230,,1.7,{x=7;y=73},,,,,,,,,,,,,,,,,,,,,
410302,化石2,base,3,13,,,<191>,,,,1911,,config/portrait/speedranktouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang1/img_377_ljlk@.png,config/portrait/simple/img_377_ljlk@.png,config/big_hero/normal/img_377_ljlk@.png,,{x=10;y=20},summer_challenge/huashi.skel,cheng,config/big_hero/standby/img_377_ljlk@.png,,,,,,,,,,,2.3,,,1.35,,,,,,,,,,,,,49.909,1.107,11.134,9.852,5.489,4.462,1.33,1.23,1.39,1.71,1.23,1.39,1684,1000,400,,,,440,248,397,196,0,0,37,,15000,,1000,,3000,,,,,500,500,,,,,,,,,,,,,,,,,,,,230,,1.7,{x=7;y=73},,,,,,,,,,,,,,,,,,,,,
410303,化石3,base,3,13,,,<191>,,,,1911,,config/portrait/speedranktouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang1/img_377_ljlk@.png,config/portrait/simple/img_377_ljlk@.png,config/big_hero/normal/img_377_ljlk@.png,,{x=10;y=20},summer_challenge/huashi.skel,huang,config/big_hero/standby/img_377_ljlk@.png,,,,,,,,,,,2.3,,,1.35,,,,,,,,,,,,,49.909,1.107,11.134,9.852,5.489,4.462,1.33,1.23,1.39,1.71,1.23,1.39,1684,1000,400,,,,440,248,397,196,0,0,37,,15000,,1000,,3000,,,,,500,500,,,,,,,,,,,,,,,,,,,,230,,1.7,{x=7;y=73},,,,,,,,,,,,,,,,,,,,,
410304,化石4,base,3,13,,,<191>,,,,1911,,config/portrait/speedranktouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang1/img_377_ljlk@.png,config/portrait/simple/img_377_ljlk@.png,config/big_hero/normal/img_377_ljlk@.png,,{x=10;y=20},summer_challenge/huashi.skel,lv,config/big_hero/standby/img_377_ljlk@.png,,,,,,,,,,,2.3,,,1.35,,,,,,,,,,,,,49.909,1.107,11.134,9.852,5.489,4.462,1.33,1.23,1.39,1.71,1.23,1.39,1684,1000,400,,,,440,248,397,196,0,0,37,,15000,,1000,,3000,,,,,500,500,,,,,,,,,,,,,,,,,,,,230,,1.7,{x=7;y=73},,,,,,,,,,,,,,,,,,,,,
410305,化石5,base,3,13,,,<191>,,,,1911,,config/portrait/speedranktouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang1/img_377_ljlk@.png,config/portrait/simple/img_377_ljlk@.png,config/big_hero/normal/img_377_ljlk@.png,,{x=10;y=20},summer_challenge/huashi.skel,lan,config/big_hero/standby/img_377_ljlk@.png,,,,,,,,,,,2.3,,,1.35,,,,,,,,,,,,,49.909,1.107,11.134,9.852,5.489,4.462,1.33,1.23,1.39,1.71,1.23,1.39,1684,1000,400,,,,440,248,397,196,0,0,37,,15000,,1000,,3000,,,,,500,500,,,,,,,,,,,,,,,,,,,,230,,1.7,{x=7;y=73},,,,,,,,,,,,,,,,,,,,,
410306,化石6,base,3,13,,,<191>,,,,1911,,config/portrait/speedranktouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang1/img_377_ljlk@.png,config/portrait/simple/img_377_ljlk@.png,config/big_hero/normal/img_377_ljlk@.png,,{x=10;y=20},summer_challenge/huashi.skel,zi,config/big_hero/standby/img_377_ljlk@.png,,,,,,,,,,,2.3,,,1.35,,,,,,,,,,,,,49.909,1.107,11.134,9.852,5.489,4.462,1.33,1.23,1.39,1.71,1.23,1.39,1684,1000,400,,,,440,248,397,196,0,0,37,,15000,,1000,,3000,,,,,500,500,,,,,,,,,,,,,,,,,,,,230,,1.7,{x=7;y=73},,,,,,,,,,,,,,,,,,,,,
410401,皮卡丘,base,2,5,,,,,,,92,,config/portrait/speedranktouxiang/img_25_pkq@.png,config/portrait/jinglingtouxiang/img_25_pkq@.png,config/portrait/jinglingtouxiang1/img_25_pkq@.png,config/portrait/simple/img_25_pkq@.png,config/big_hero/normal/img_25_pkq@.png,1.1,{x=-20;y=30},koudai_pikaqiu/hero_pikaqiu.skel,,config/big_hero/standby/img_25_pkq@.png,,{x=140;y=-20},<71000407>,<71000402;71000403;71000404>,,,{headPos={y=200;x=0};hitPos={y=110;x=0};lifePos={y=240;x=0};namePos={y=240;x=0}},,,,,,,1.2,,,,,,,,,,,,,41.278,1.143,9.292,9.212,3.595,3.692,1.1,1.27,1.16,1.12,1.15,1.15,712,1000,400,,,,233,195,80,91,0,0,46,300,15000,,,,3000,,,,,300,,,,,,,,,,,,,,,,,,<71000402;71000403;71000404>,,,6,,0.4,,,,,<71000407>,,,,,,,,,,,,,,,,,
410402,鳃鱼龙,base,3,3,15,,<10024>,,,,4561,,config/portrait/speedranktouxiang/img_882_syl@.png,config/portrait/jinglingtouxiang/img_882_syl@.png,config/portrait/jinglingtouxiang1/img_882_syl@.png,config/portrait/simple/img_882_syl@.png,config/big_hero/normal/img_882_syl@.png,1.2,{x=0;y=5},koudai_saiyulong/hero_saiyulong.skel,,config/big_hero/standby/img_882_syl@.png,,,<71000401>,<71000405>,,,,,,,2.4,,,1.65,,,,,,,,,,,,,51.035,1.179,10.894,10.413,4.462,4.269,1.36,1.31,1.36,1.39,1.3,1.33,1870,1000,400,,,,399,321,196,163,0,0,47,,15000,300,600,100,3000,,,,,600,600,,,,,,,,,,,,,,,,,<71000405>,,,215,,2.3,,,,,<71000401>,,,,,,,,,,,,,,,,,
410403,雷吉洛克,base,3,13,,,<191>,,,,1911,,config/portrait/speedranktouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang1/img_377_ljlk@.png,config/portrait/simple/img_377_ljlk@.png,config/big_hero/normal/img_377_ljlk@.png,,{x=10;y=20},koudai_leijiluoke/hero_leijiluoke.skel,putong,config/big_hero/standby/img_377_ljlk@.png,,,,,,,,,,,2.3,,,1.35,,,,,,,,,,,,,49.909,1.107,11.134,9.852,5.489,4.462,1.33,1.23,1.39,1.71,1.23,1.39,1684,1000,400,,,,440,248,397,196,0,0,37,,15000,,1000,,3000,,,,,500,500,,,,,,,,,,,,,,,,,,,,230,,1.7,{x=7;y=73},,,,,,,,,,,,,,,,,,,,,
410404,雷吉洛克,base,3,13,,,<191>,,,,1911,,config/portrait/speedranktouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang/img_377_ljlk@.png,config/portrait/jinglingtouxiang1/img_377_ljlk@.png,config/portrait/simple/img_377_ljlk@.png,config/big_hero/normal/img_377_ljlk@.png,,{x=10;y=20},koudai_leijiluoke/hero_leijiluoke.skel,putong,config/big_hero/standby/img_377_ljlk@.png,,,,,,,,,,,2.3,,,1.35,,,,,,,,,,,,,49.909,1.107,11.134,9.852,5.489,4.462,1.33,1.23,1.39,1.71,1.23,1.39,1684,1000,400,,,,440,248,397,196,0,0,37,,15000,,1000,,3000,,,,,500,500,,,,,,,,,,,,,,,,,,,,230,,1.7,{x=7;y=73},,,,,,,,,,,,,,,,,,,,,
410801,鳃鱼龙,base,3,3,15,,<10024>,,,,4561,,config/portrait/speedranktouxiang/img_882_syl@.png,config/portrait/jinglingtouxiang/img_882_syl@.png,config/portrait/jinglingtouxiang1/img_882_syl@.png,config/portrait/simple/img_882_syl@.png,config/big_hero/normal/img_882_syl@.png,1.2,{x=0;y=5},koudai_saiyulong/hero_saiyulong.skel,,config/big_hero/standby/img_882_syl@.png,,,,<71000802;71000803;71000804>,,,,,,,2.4,,,1.65,,,,,,,,,,,,,51.035,1.179,10.894,10.413,4.462,4.269,1.36,1.31,1.36,1.39,1.3,1.33,1870,1000,400,,,,399,321,196,163,0,0,47,,15000,300,600,100,3000,,,,,600,600,,,,,,,,,,,,,,,,,<71000802;71000803;71000804>,,,215,,2.3,,,,,,,,,,,,,,,,,,,,,,
410802,葱游兵,base,3,7,,,<10006>,,,,4431,,config/portrait/speedranktouxiang/img_865_cyb@.png,config/portrait/jinglingtouxiang/img_865_cyb@.png,config/portrait/jinglingtouxiang1/img_865_cyb@.png,config/portrait/simple/img_865_cyb@.png,config/big_hero/normal/img_865_cyb@.png,1.3,{x=0;y=10},koudai_congyoubing/hero_congyoubing.skel,,config/big_hero/standby/img_865_cyb@.png,,,<71000801>,<71000805;71000806;71000807>,,,{headPos={y=270;x=0};hitPos={y=145;x=0};lifePos={y=310;x=0};namePos={y=310;x=0}},,,,2.4,,,1.1,,,,,,,,,,,,,47.657,1.152,12.015,10.333,4.43,4.269,1.27,1.28,1.5,1.38,1.29,1.33,1363,1000,400,,,,597,313,188,166,0,0,43,200,15000,,,500,3000,,,,,1300,500,,,,,,,,,,,,,,,,,<71000805;71000806;71000807>,,0.9,117,,0.8,,,,,<71000801>,,,,,,,,,,,,,,,,,
500401,皮卡丘,base,2,5,,,,,,,92,,config/portrait/speedranktouxiang/img_25_pkq@.png,config/portrait/jinglingtouxiang/img_25_pkq@.png,config/portrait/jinglingtouxiang1/img_25_pkq@.png,config/portrait/simple/img_25_pkq@.png,config/big_hero/normal/img_25_pkq@.png,1.1,{x=-20;y=30},koudai_pikaqiu/hero_pikaqiu.skel,,config/big_hero/standby/img_25_pkq@.png,,{x=140;y=-20},<924>,<50000517;50000518;50000519>,,,{headPos={y=200;x=0};hitPos={y=110;x=0};lifePos={y=240;x=0};namePos={y=240;x=0}},,,,,,,1.2,,,,,,,,,,,,,41.278,1.143,9.292,9.212,3.595,3.692,1.1,1.27,1.16,1.12,1.15,1.15,712,1000,400,,,,233,195,80,91,0,0,46,300,15000,,,,3000,,,,,300,,,,,,,,,,,,,,,,,,,,,6,,0.4,,,,,,,,,,,,,,,,,,,,,,
500601,雷吉艾斯,base,3,6,,,,,,,1921,,config/portrait/speedranktouxiang/img_378_ljas@.png,config/portrait/jinglingtouxiang/img_378_ljas@.png,config/portrait/jinglingtouxiang1/img_378_ljas@.png,config/portrait/simple/img_378_ljas@.png,config/big_hero/normal/img_378_ljas@.png,1.2,{x=-80;y=30},koudai_leijiaisi/hero_leijiaisi.skel,,config/big_hero/standby/img_378_ljas@.png,,,,<19211;19212;19213>,,,,,,,2.3,,,1.35,,,,,,,,,,,,,49.909,1.107,9.852,11.134,4.462,5.489,1.33,1.23,1.23,1.39,1.39,1.71,1684,1000,400,,,,248,440,196,397,0,0,37,,15000,500,500,,3000,,,,,,1000,,,,,,,,,,,,,,,,,,,,175,,1.8,,,,,,,,,,,,,,,,,,,,,,
510001,妙蛙种子,common,2,4,8,,<99;10011>,,,,1,12,config/portrait/speedranktouxiang/img_1_mwzz@.png,config/portrait/jinglingtouxiang/img_1_mwzz@.png,config/portrait/jinglingtouxiang1/img_1_mwzz@.png,config/portrait/simple/img_1_mwzz@.png,config/big_hero/normal/img_1_mwzz@.png,1.4,{x=130;y=-30},koudai_miaowazhongzi/hero_miaowazhongzi.skel,,config/big_hero/standby/img_1_mwzz@.png,,{x=60;y=0},<59014;16>,<11;12;13>,,,{headPos={y=190;x=0};hitPos={y=105;x=0};lifePos={y=230;x=0};namePos={y=230;x=0}},,,,2.1,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,6.9,,0.7,{x=-72;y=106},,,,<16>,,<1;1;1;1>,2,,,,,,,,,,,,,,
510002,妙蛙草,common,2,4,8,,<99;10011>,,,,2,12,config/portrait/speedranktouxiang/img_2_mwc@.png,config/portrait/jinglingtouxiang/img_2_mwc@.png,config/portrait/jinglingtouxiang1/img_2_mwc@.png,config/portrait/simple/img_2_mwc@.png,config/big_hero/normal/img_2_mwc@.png,1.2,{x=40;y=70},koudai_miaowacao/hero_miaowacao.skel,,config/big_hero/standby/img_2_mwc@.png,,{x=60;y=0},<59014;26>,<21;22;23>,,,{headPos={y=210;x=0};hitPos={y=115;x=0};lifePos={y=250;x=0};namePos={y=250;x=0}},,,,2.1,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,1,{x=-25;y=94},,,,<26>,,<1;1;1;1>,2,,,,,,,,,,,,,,
510003,妙蛙花,common,2,4,8,,<99;10011>,,,,3,12,config/portrait/speedranktouxiang/img_3_mwh@.png,config/portrait/jinglingtouxiang/img_3_mwh@.png,config/portrait/jinglingtouxiang1/img_3_mwh@.png,config/portrait/simple/img_3_mwh@.png,config/big_hero/normal/img_3_mwh@.png,,{x=-10;y=20},koudai_miaowahua/hero_miaowahua.skel,,config/big_hero/standby/img_3_mwh@.png,,{x=60;y=0},<59014;36>,<31;32;33>,,,{headPos={y=220;x=0};hitPos={y=120;x=0};lifePos={y=260;x=0};namePos={y=260;x=0}},,,,2.6,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,2,{x=11;y=94},,,,<36>,,<1;1;1;1>,2,,,,,,,,,,,,,,
510004,超级妙蛙花,common,3,4,8,,<99;10011>,,,,4,12,config/portrait/speedranktouxiang/img_3_cjmwh@.png,config/portrait/jinglingtouxiang/img_3_cjmwh@.png,config/portrait/jinglingtouxiang1/img_3_cjmwh@.png,config/portrait/simple/img_3_cjmwh@.png,config/big_hero/normal/img_3_cjmwh@.png,1.4,{x=40;y=90},koudai_miaowahuamega/hero_miaowahuamega.skel,,config/big_hero/standby/img_3_cjmwh@.png,,{x=60;y=0},<59014;46>,<41;42;43>,,,{headPos={y=220;x=0};hitPos={y=120;x=0};lifePos={y=260;x=0};namePos={y=260;x=0}},,,,1.9,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,2,{x=14;y=77},,,,<46>,,<1;1;1;1>,2,,,,,,,,,,,,,,
510011,小火龙,common,2,2,,,<99;10011>,,,,11,12,config/portrait/speedranktouxiang/img_4_xhl@.png,config/portrait/jinglingtouxiang/img_4_xhl@.png,config/portrait/jinglingtouxiang1/img_4_xhl@.png,config/portrait/simple/img_4_xhl@.png,config/big_hero/normal/img_4_xhl@.png,,,koudai_xiaohuolong/hero_xiaohuolong.skel,,config/big_hero/standby/img_4_xhl@.png,,{x=50;y=-40},<59014;116>,<111;112;113>,,,{headPos={y=220;x=0};hitPos={y=120;x=0};lifePos={y=260;x=0};namePos={y=260;x=0}},,,,2.4,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,8.5,,0.6,{x=-54;y=94},,,,<116>,,<1;1;1;1>,3,,,,,,,,,,,,,,
510012,火恐龙,common,2,2,,,<99;10011>,,,,12,12,config/portrait/speedranktouxiang/img_5_hkl@.png,config/portrait/jinglingtouxiang/img_5_hkl@.png,config/portrait/jinglingtouxiang1/img_5_hkl@.png,config/portrait/simple/img_5_hkl@.png,config/big_hero/normal/img_5_hkl@.png,1.1,{x=30;y=0},koudai_huokonglong/hero_huokonglong.skel,,config/big_hero/standby/img_5_hkl@.png,,{x=50;y=-40},<59014;126>,<121;122;123>,,,{headPos={y=250;x=0};hitPos={y=135;x=0};lifePos={y=290;x=0};namePos={y=290;x=0}},,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,19,,1.1,{x=-54;y=94},,,,<126>,,<1;1;1;1>,3,,,,,,,,,,,,,,
